User,Subscription,Cost,StartDate,EndDate,Status
Bob,YouTube Premium,12.99,2023-07-31,2024-07-30,Cancelled
Hannah,Hulu,11.99,2023-05-25,2024-05-24,Cancelled
Alice,Netflix,15.99,2023-06-20,2024-06-19,Active
Emma,Hulu,11.99,2023-01-23,2024-01-23,Active
Jack,Amazon Prime,12.99,2023-01-04,2024-01-04,Cancelled
Charlie,Hulu,11.99,2023-11-30,2024-11-29,Active
Frank,Disney+,7.99,2023-09-17,2024-09-16,Cancelled
Charlie,Apple Music,10.99,2023-05-27,2024-05-26,Active
Emma,YouTube Premium,12.99,2023-11-16,2024-11-15,Cancelled
Isaac,YouTube Premium,12.99,2023-03-14,2024-03-13,Active
Isaac,Apple Music,10.99,2023-01-13,2024-01-13,Cancelled
David,Hulu,11.99,2023-05-16,2024-05-15,Active
Hannah,Hulu,11.99,2023-06-15,2024-06-14,Cancelled
Charlie,Apple Music,10.99,2023-09-18,2024-09-17,Active
Hannah,Disney+,7.99,2023-05-30,2024-05-29,Active
Emma,Hulu,11.99,2023-07-16,2024-07-15,Active
Frank,Spotify,9.99,2023-05-01,2024-04-30,Active
Isaac,Amazon Prime,12.99,2023-04-09,2024-04-08,Cancelled
Emma,Hulu,11.99,2023-11-04,2024-11-03,Active
Jack,Spotify,9.99,2023-04-21,2024-04-20,Cancelled
Hannah,Hulu,11.99,2023-04-20,2024-04-19,Active
Isaac,Spotify,9.99,2023-07-22,2024-07-21,Active
Alice,Hulu,11.99,2023-05-01,2024-04-30,Cancelled
Frank,Netflix,15.99,2023-11-08,2024-11-07,Cancelled
Charlie,Netflix,15.99,2023-02-21,2024-02-21,Active
Isaac,Spotify,9.99,2023-11-20,2024-11-19,Active
Alice,Hulu,11.99,2023-05-27,2024-05-26,Active
Charlie,HBO Max,14.99,2023-01-07,2024-01-07,Cancelled
Alice,YouTube Premium,12.99,2023-06-21,2024-06-20,Active
David,HBO Max,14.99,2023-12-09,2024-12-08,Cancelled
Charlie,Disney+,7.99,2023-03-31,2024-03-30,Active
Bob,YouTube Premium,12.99,2023-05-09,2024-05-08,Cancelled
Emma,Netflix,15.99,2023-01-29,2024-01-29,Cancelled
Frank,Spotify,9.99,2023-08-27,2024-08-26,Active
Hannah,Disney+,7.99,2023-07-12,2024-07-11,Active
Charlie,HBO Max,14.99,2023-12-03,2024-12-02,Active
Bob,YouTube Premium,12.99,2023-12-12,2024-12-11,Active
Grace,Amazon Prime,12.99,2023-08-18,2024-08-17,Cancelled
Hannah,HBO Max,14.99,2023-03-20,2024-03-19,Active
Grace,Apple Music,10.99,2023-12-04,2024-12-03,Active
Charlie,Netflix,15.99,2023-02-15,2024-02-15,Cancelled
Jack,Hulu,11.99,2023-08-01,2024-07-31,Active
David,HBO Max,14.99,2023-08-01,2024-07-31,Cancelled
Jack,HBO Max,14.99,2023-01-31,2024-01-31,Cancelled
Grace,HBO Max,14.99,2023-04-18,2024-04-17,Active
Grace,Hulu,11.99,2023-02-02,2024-02-02,Active
David,Amazon Prime,12.99,2023-10-01,2024-09-30,Cancelled
Bob,Netflix,15.99,2023-04-16,2024-04-15,Active
Hannah,Apple Music,10.99,2023-08-23,2024-08-22,Active
Grace,YouTube Premium,12.99,2023-11-12,2024-11-11,Active
Jack,YouTube Premium,12.99,2023-11-02,2024-11-01,Cancelled
Charlie,YouTube Premium,12.99,2023-05-04,2024-05-03,Cancelled
Jack,Amazon Prime,12.99,2023-08-29,2024-08-28,Active
Hannah,Spotify,9.99,2023-02-10,2024-02-10,Active
Grace,Spotify,9.99,2023-07-05,2024-07-04,Cancelled
David,Hulu,11.99,2023-02-10,2024-02-10,Active
Bob,HBO Max,14.99,2023-09-20,2024-09-19,Active
Hannah,Hulu,11.99,2023-12-21,2024-12-20,Cancelled
Jack,HBO Max,14.99,2023-10-02,2024-10-01,Active
Emma,YouTube Premium,12.99,2023-03-05,2024-03-04,Active
David,YouTube Premium,12.99,2023-11-22,2024-11-21,Cancelled
Bob,Netflix,15.99,2023-10-08,2024-10-07,Cancelled
Bob,Netflix,15.99,2023-01-09,2024-01-09,Active
Grace,Disney+,7.99,2023-02-25,2024-02-25,Cancelled
Charlie,Apple Music,10.99,2023-02-17,2024-02-17,Cancelled
Charlie,Spotify,9.99,2023-03-31,2024-03-30,Active
Grace,Amazon Prime,12.99,2023-02-04,2024-02-04,Cancelled
Grace,Disney+,7.99,2023-10-26,2024-10-25,Active
Frank,HBO Max,14.99,2023-03-06,2024-03-05,Cancelled
Hannah,Netflix,15.99,2023-02-24,2024-02-24,Cancelled
Jack,YouTube Premium,12.99,2023-10-26,2024-10-25,Active
Frank,YouTube Premium,12.99,2023-02-11,2024-02-11,Cancelled
Hannah,Amazon Prime,12.99,2023-07-16,2024-07-15,Cancelled
Isaac,HBO Max,14.99,2023-10-01,2024-09-30,Active
Hannah,YouTube Premium,12.99,2023-11-17,2024-11-16,Cancelled
Isaac,Apple Music,10.99,2023-11-07,2024-11-06,Active
Bob,HBO Max,14.99,2023-12-19,2024-12-18,Cancelled
Frank,YouTube Premium,12.99,2023-02-05,2024-02-05,Cancelled
Grace,Apple Music,10.99,2023-03-13,2024-03-12,Cancelled
Emma,Disney+,7.99,2023-03-12,2024-03-11,Cancelled
Isaac,Disney+,7.99,2023-05-29,2024-05-28,Cancelled
Frank,YouTube Premium,12.99,2023-10-03,2024-10-02,Cancelled
Alice,Disney+,7.99,2023-06-18,2024-06-17,Cancelled
Frank,Spotify,9.99,2023-10-07,2024-10-06,Active
Frank,Amazon Prime,12.99,2023-08-09,2024-08-08,Active
Hannah,Spotify,9.99,2023-09-07,2024-09-06,Cancelled
Alice,Netflix,15.99,2023-08-22,2024-08-21,Active
David,Amazon Prime,12.99,2023-08-07,2024-08-06,Active
Frank,Apple Music,10.99,2023-11-05,2024-11-04,Active
Charlie,Hulu,11.99,2023-07-10,2024-07-09,Cancelled
Jack,Amazon Prime,12.99,2023-09-05,2024-09-04,Active
Bob,YouTube Premium,12.99,2023-07-07,2024-07-06,Cancelled
Frank,Netflix,15.99,2023-04-29,2024-04-28,Cancelled
Bob,HBO Max,14.99,2023-03-29,2024-03-28,Cancelled
Isaac,YouTube Premium,12.99,2023-10-17,2024-10-16,Cancelled
Grace,HBO Max,14.99,2023-02-19,2024-02-19,Cancelled
Bob,Amazon Prime,12.99,2023-12-27,2024-12-26,Active
Bob,YouTube Premium,12.99,2023-01-17,2024-01-17,Active
Emma,YouTube Premium,12.99,2023-07-05,2024-07-04,Active
Emma,Amazon Prime,12.99,2023-11-12,2024-11-11,Active
Bob,HBO Max,14.99,2023-11-09,2024-11-08,Cancelled
Jack,Disney+,7.99,2023-01-31,2024-01-31,Cancelled
Alice,Amazon Prime,12.99,2023-04-29,2024-04-28,Cancelled
Charlie,YouTube Premium,12.99,2023-10-17,2024-10-16,Cancelled
Jack,YouTube Premium,12.99,2023-11-24,2024-11-23,Active
Emma,Hulu,11.99,2023-09-17,2024-09-16,Active
Alice,Apple Music,10.99,2023-11-30,2024-11-29,Cancelled
Bob,YouTube Premium,12.99,2023-04-16,2024-04-15,Cancelled
Grace,Disney+,7.99,2023-12-20,2024-12-19,Cancelled
Isaac,Hulu,11.99,2023-09-25,2024-09-24,Cancelled
David,Hulu,11.99,2023-03-02,2024-03-01,Cancelled
Grace,HBO Max,14.99,2023-07-03,2024-07-02,Cancelled
Grace,Amazon Prime,12.99,2023-10-20,2024-10-19,Active
Frank,Spotify,9.99,2023-04-13,2024-04-12,Cancelled
Emma,Netflix,15.99,2023-11-21,2024-11-20,Cancelled
Frank,HBO Max,14.99,2023-03-01,2024-02-29,Active
